date,nse,prediction,dji,ftse,nikkei,SandP,ssec
20120412,0.380726441,1,0.703526696,0.700377979,0.290209852,0.744889573,0.067513582
20120413,-0.4008073,0,1.414954445,1.343806458,0.928108553,1.377938755,0.027603681
20120416,-0.323574878,1,-1.054860011,-1.027412853,-1.196204148,-1.247500067,-0.544854913
20120417,0.773028204,1,0.558930837,0.256378953,0.058187654,-0.050360077,-0.070299737
20120418,0.586044577,0,1.502389272,1.776650642,1.369189806,1.54866738,0.263380823
20120419,0.388679245,1,-0.631236226,-0.375588483,-0.916289415,-0.405528831,-0.093068524
20120420,-0.34599805,0,-0.526752911,-0.012880116,-0.13964454,-0.593439718,-0.166983401
20120423,-0.254212461,0,0.50262002,0.480455388,0.395757942,0.116926542,-0.13885464
20120424,0.294196823,1,-0.783542978,-1.846452362,-0.797406089,-0.840757021,-0.349654582
20120425,-0.008616315,0,0.575451939,0.775208849,1.165815549,0.367977396,-0.277250158
20120426,0.245098039,0,0.685765115,0.164638173,0.545448559,1.364459164,0.072507378
20120427,0,1,0.870085009,0.521604717,0.026880973,0.668016553,-0.094236945
20120428,0.366046314,0,0,0,0,0,0
20120430,-0.144941447,1,0.179402738,0.493849066,0,0.241432381,0
20120502,0.117184151,0,0.497141441,1.297540164,0.501766356,0.565838416,1.033507845
20120503,-0.533483485,0,-0.080952938,-0.931140027,0,-0.249668317,-0.198771833
20120504,-0.419204379,0,-0.467122445,0.146575873,0,-0.765887182,-0.107168204
20120507,-1.357421587,1,-1.274517586,0,-1.941100482,-1.614720846,-0.41830252
20120508,0.010754475,0,-0.228092079,-1.933391716,0.782533822,0.035058068,-0.015174471
20120509,-0.64100641,1,-0.587617728,-1.777346306,-0.750743723,-0.427867316,-0.670187268
20120510,0.187947254,0,-0.750306186,-0.441079835,-0.351570974,-0.670226674,0.056428545
20120511,-0.540709266,0,0.155671034,0.251353966,0.108217296,0.251741064,-0.172391461
20120514,0.110572339,0,-0.267913829,0.56944958,0.367575328,-0.338734087,0.554493911
20120515,-0.773258894,1,-0.976943387,-1.97291015,-0.701931794,-1.111286387,-0.57302248
20120516,-1.365622724,0,-0.498998546,-0.510472928,-0.392775882,-0.574583789,-0.233660623
20120517,0.418875109,0,-0.264805177,-0.595297207,-0.132939088,-0.440381829,0.041987486
20120518,-1.515338179,1,-1.238710664,-1.237130568,-1.678682564,-1.505137625,-0.587966808
20120521,-0.060309315,1,-0.587586156,-1.32549575,0.076763609,-0.738777655,-0.040351313
20120522,0.99163278,0,1.092217971,0.699746755,1.015766932,1.603590082,0.316479361
20120523,-0.360045263,0,-0.01336241,1.862576539,-0.162102427,0.048633729,-0.170269454
20120524,0.573862873,1,-0.053261469,-2.533091011,-0.217485635,0.169370286,-0.158884158
20120525,-0.313935059,1,0.268879687,1.588178664,0.62439979,0.138003201,-0.018370437
20120528,0.229656126,1,0,0.027663293,0.286707096,0,-0.352941805
20120529,0.395134035,0,-0.597936272,0.089880838,-0.321079229,-0.216563277,-0.015415351
20120530,-0.518025691,0,1.010534461,0.649697368,-0.220973848,1.107897786,-0.177595919
20120531,-1.103873151,1,-1.278388344,-1.741004685,-1.546482069,-1.433489243,-0.614797917
20120601,-0.272122658,0,-0.2126445,0.445134107,-0.904403367,-0.227666534,0.04174268
